condition,cell_id,cell_area,nucleus_area,cytoplasm_area,nc_ratio,dna_intensity,dna_nucleus_intensity,er_intensity,agp_intensity,mito_intensity,rna_intensity,eccentricity,solidity,dna_texture,mito_texture
TNFRSF10B_OE,7,6740.0,793,5947,0.11765578635014837,8.77833827893175,58.37074401008827,18.111572700296737,14.00994065281899,17.15593471810089,15.574777448071217,0.7736762637856497,0.8414481897627965,12.974463290672231,15.386509528207288
TNFRSF10B_OE,8,5370.0,808,4562,0.15046554934823092,12.555307262569832,67.59529702970298,35.506703910614526,24.543947858472997,26.00856610800745,31.463500931098697,0.9883242477156228,0.6684924685671605,22.19046329057569,20.992308629444754
TNFRSF10B_OE,9,3767.0,684,3083,0.18157685160605255,11.554552694451818,48.634502923976605,19.477302893549243,16.620122113087337,17.67878948765596,19.905495088930184,0.8591385347753524,0.4778637574527464,11.542232757730073,10.724601561431719
TNFRSF10B_OE,10,7561.0,756,6805,0.09998677423621215,7.987038751487899,63.136243386243386,18.687078428779262,15.583520698320328,16.200767094299696,14.917338976325883,0.5423943090881679,0.9510691823899371,16.294291163232344,18.91026441358995
TNFRSF10B_OE,11,3765.0,799,2966,0.21221779548472774,15.564940239043825,59.65707133917397,38.982204515272244,27.526427622841965,28.142629482071712,32.44116865869854,0.8163524752425935,0.9067919075144508,15.035628839590297,21.468358432888053
TNFRSF10B_OE,12,750.0,340,410,0.4533333333333333,48.748,98.05882352941177,56.19466666666667,28.308,56.614666666666665,40.28933333333333,0.6566141807541085,0.9689922480620154,68.14484624096053,40.835991293084696
TNFRSF10B_OE,13,5153.0,936,4217,0.18164176208034155,13.073355326993983,59.93055555555556,26.748107898311662,16.785949932078402,19.212691635940228,22.98272850766544,0.8928963508701354,0.9253007721314419,12.07439926621925,13.552815446027122
TNFRSF10B_OE,14,6305.0,727,5578,0.11530531324345758,7.648850118953212,49.426409903713896,15.70578905630452,15.022363203806503,14.9847739888977,15.077716098334655,0.8354295365313413,0.7771477875015408,7.620992231954889,13.357848758021564
TNFRSF10B_OE,15,7833.0,935,6898,0.11936678156517298,9.513085663219712,63.29839572192513,20.89365504915103,15.504276777735223,15.060385548321205,18.107493935912167,0.7836535433203369,0.9272017045454546,15.416629246347595,14.178317785164525
TNFRSF10B_OE,16,1373.0,323,1050,0.23525127458120904,24.03350327749454,86.94117647058823,60.8965768390386,44.37946103423161,46.69701383831027,66.32629278951202,0.8418493595318793,0.9594689028651293,48.726058099694484,43.065947817733225
TNFRSF10B_OE,17,6683.0,1046,5637,0.15651653449049827,10.577584916953464,53.65965583173996,19.820439922190634,16.891815053119856,16.572647014813708,17.701631004040102,0.9495944516305193,0.7128533333333333,10.904015323189668,13.773088323767807
TNFRSF10B_OE,18,4642.0,1041,3601,0.22425678586816028,16.178371391641534,60.790585975024015,31.6212839293408,23.079276174062905,26.674493752692804,26.48341232227488,0.9118124874280961,0.9551440329218107,15.696213917914136,19.783387292526974
TNFRSF10B_OE,19,10040.0,1012,9028,0.10079681274900398,7.123107569721116,53.869565217391305,16.035358565737052,13.50019920318725,14.732470119521912,13.712350597609563,0.7913171495786451,0.45836376917458,9.956167900231716,14.130338834289017
TNFRSF10B_OE,20,1498.0,612,886,0.40854472630173566,43.49065420560748,94.07516339869281,71.59145527369826,66.34445927903872,60.86648865153538,74.86381842456609,0.43773565307315154,0.9822950819672132,64.71832561743958,65.34913575975023
TNFRSF10B_OE,21,3780.0,723,3057,0.19126984126984126,18.602910052910055,82.20470262793914,40.17671957671958,35.49338624338624,31.956084656084656,37.164550264550265,0.5177182827581465,0.9301181102362205,35.96563028176213,40.26554289288103
TNFRSF10B_OE,22,10325.0,1044,9281,0.10111380145278451,7.438159806295399,51.39750957854406,17.85510895883777,17.639806295399517,15.211041162227604,16.311476997578694,0.6898993180977345,0.8214001591089897,13.780366451764896,14.671614937436086
TNFRSF10B_OE,23,1988.0,654,1334,0.3289738430583501,28.395875251509054,76.91743119266054,61.8692152917505,37.35010060362173,38.3546277665996,55.02967806841046,0.7663783531878102,0.9754661432777233,28.649402950597306,28.420234907995173
TNFRSF10B_OE,24,1611.0,425,1186,0.2638112973308504,30.722532588454378,102.8,73.08131595282433,52.80943513345748,61.95779019242706,65.21663563004346,0.646016040492028,0.841692789968652,63.763349236707704,61.89080074187074
TNFRSF10B_OE,25,5100.0,592,4508,0.11607843137254902,7.334705882352941,40.98141891891892,15.128039215686275,11.979607843137256,13.69843137254902,14.09921568627451,0.8926950014303557,0.8969398522687302,4.495642711790441,7.699607673363731
TNFRSF10B_OE,26,791.0,289,502,0.36536030341340076,38.737041719342606,94.77854671280276,91.57648546144121,37.576485461441216,89.1251580278129,78.48419721871049,0.42082410325125313,0.9669926650366748,60.777540555292624,71.02333628844394
TNFRSF10B_OE,27,4709.0,991,3718,0.2104480781482268,13.925674240815459,54.25832492431887,25.47971968570822,17.16861329369293,11.591845402420896,23.19706944149501,0.9235955784445081,0.8448152134912091,10.861009277321928,6.523647737030896
TNFRSF10B_OE,28,4491.0,532,3959,0.11845914050322869,8.092184368737476,40.78195488721804,22.070585615675796,17.381429525718104,19.60253841015364,19.566466265865063,0.7495794666610246,0.9170920972023688,5.453960892003047,18.52612862381849
TNFRSF10B_OE,29,3062.0,704,2358,0.22991508817766165,13.056172436316134,42.58096590909091,17.68647942521228,13.788047028086218,12.966035271064664,17.98073154800784,0.7992754927757147,0.9338212869777371,6.2755596616572475,7.147381657310246
TNFRSF10B_OE,30,8660.0,1090,7570,0.1258660508083141,7.643995381062355,40.1605504587156,17.216166281755196,13.701154734411086,12.501501154734411,15.207043879907621,0.8102661630740386,0.8043094641032785,5.835426736887574,6.60267092436455
TNFRSF10B_OE,31,6676.0,991,5685,0.14844218094667466,9.949970041941283,51.44399596367306,28.303175554224087,23.398741761533852,22.262582384661474,23.733223487118035,0.9256721336973056,0.8125608568646543,11.535871390345648,19.42425755255264
TNFRSF10B_OE,32,8692.0,913,7779,0.10503911642890014,7.77289461573861,58.024096385542165,15.378739070409573,15.003336401288541,12.055568338702255,13.57731247123792,0.9212079872738475,0.8448678071539658,12.973115257089672,8.692304760228184
TNFRSF10B_OE,33,10909.0,669,10240,0.06132551104592538,5.685764048033733,64.51718983557548,17.610963424695207,13.8235401961683,15.958291319094325,15.039050325419378,0.7693894020188119,0.7945953820380217,16.697029994526062,13.774855109548144
TNFRSF10B_OE,34,9206.0,1706,7500,0.18531392570063002,12.782967629806647,56.174677608440795,30.840538779057137,29.22572235498588,24.358027373452096,27.682272431023247,0.68228102651641,0.8173665985971766,24.717773269454653,24.792674850472807
TNFRSF10B_OE,35,5429.0,826,4603,0.15214588321974581,10.017498618530116,52.090799031477,16.98508012525327,13.497697550193406,14.2849511880641,15.410204457542825,0.7529554358769056,0.8941040843214756,11.21624287380421,12.607585863824117
TNFRSF10B_OE,36,1936.0,413,1523,0.21332644628099173,12.299586776859504,46.738498789346245,26.672520661157026,26.867768595041323,26.572830578512395,21.59297520661157,0.7615055268599368,0.9738430583501007,7.742176848073856,22.65228231445876
TNFRSF10B_OE,37,5323.0,479,4844,0.08998684952094683,7.474356565846327,62.2839248434238,20.837685515686644,18.0817208341161,17.15160623708435,16.71764042832989,0.8711787423401763,0.7815298781383057,19.352967233844737,22.07530131174339
TNFRSF10B_OE,38,4544.0,516,4028,0.11355633802816902,8.19300176056338,55.25581395348837,20.318661971830984,16.151188380281692,16.63226232394366,17.243177816901408,0.40853731774371127,0.948643006263048,11.208924372025614,22.207817816494774
TNFRSF10B_OE,39,5772.0,995,4777,0.1723839223839224,11.853950103950105,54.015075376884425,31.203742203742205,23.713617463617464,21.286209286209285,28.52927927927928,0.8212908383790538,0.7884168829394892,11.200178294944212,18.786971783039228
TNFRSF10B_OE,40,3398.0,598,2800,0.17598587404355504,12.236021188934668,54.5685618729097,28.491465567981166,21.61389052383755,22.809299587992935,27.304296645085344,0.8486966361807561,0.878263117084518,10.623276091759879,17.184937576193033
TNFRSF10B_OE,41,4273.0,677,3596,0.15843669553007256,10.924409080271472,58.94091580502216,18.724783524455887,14.34097823543178,16.428504563538496,17.70746548092675,0.8817039556061725,0.8623612512613522,12.034516866376125,12.980213282002786
TNFRSF10B_OE,42,2862.0,674,2188,0.23549965059399022,15.087700908455625,49.596439169139465,42.92907058001398,29.069881201956672,30.55590496156534,37.076170510132776,0.13375683115857026,0.9352941176470588,8.737707045470895,22.100562324713277
TNFRSF10B_OE,43,1742.0,628,1114,0.3605051664753157,30.941446613088406,77.93789808917198,57.730195177956375,47.27037887485648,40.246842709529275,56.34385763490241,0.8468238740972432,0.9524330235101148,29.61565308555396,35.69180053608925
