Metadata_JCP2022,mean,std,count
JCP2022_802055,9.957565,2.9779294,7
JCP2022_802053,9.956048,1.7021816,5
JCP2022_807436,9.937349,8.189318,5
JCP2022_804561,9.928262,1.0766354,5
JCP2022_804755,9.927773,1.0212668,5
JCP2022_803725,9.926849,4.9611607,5
JCP2022_805155,9.856959,1.0652616,5
JCP2022_806384,9.8204975,7.5068364,5
JCP2022_804938,9.81852,1.0224148,5
JCP2022_805669,9.800133,7.0864778,5
JCP2022_802653,9.768057,1.0317851,5
JCP2022_806783,9.761613,6.280793,5
JCP2022_806295,9.755725,2.2946002,5
JCP2022_800412,9.743862,7.3674164,5
JCP2022_807472,9.726999,5.0512023,5
JCP2022_805352,9.724435,1.658392,5
JCP2022_807676,9.7238035,2.0373344,5
JCP2022_806267,9.718006,0.8214715,5
JCP2022_800716,9.709903,0.82865274,5
JCP2022_804634,9.6868,3.6514351,6
JCP2022_803023,9.674179,4.7813635,7
JCP2022_800326,9.664844,1.0671439,10
JCP2022_801747,9.657465,0.9238571,5
JCP2022_805512,9.655942,2.8123672,5
JCP2022_807449,9.646939,1.7990984,5
JCP2022_804287,9.6377125,0.9115947,5
JCP2022_802609,9.63302,1.2902282,5
JCP2022_801614,9.603983,0.5782348,5
JCP2022_806345,9.59976,1.4112548,5
JCP2022_804101,9.59828,0.8860741,5
JCP2022_806820,9.594397,9.468219,5
JCP2022_806256,9.585116,1.4541117,5
JCP2022_805713,9.541278,3.672698,5
JCP2022_805507,9.526694,7.2846293,5
JCP2022_800513,9.525435,1.8454239,5
JCP2022_802208,9.50366,8.523771,5
JCP2022_803325,9.483714,1.604058,5
JCP2022_805769,9.479513,1.6845498,5
JCP2022_801542,9.442488,1.333958,5
JCP2022_805351,9.431478,0.9829179,6
JCP2022_805353,9.425268,1.5347724,5
JCP2022_806962,9.398322,1.7385961,7
JCP2022_801959,9.389329,1.1331722,5
JCP2022_800292,9.388914,8.462894,5
JCP2022_800944,9.37269,1.6130785,5
JCP2022_806907,9.37075,6.4168344,5
JCP2022_806927,9.360369,1.2724313,5
JCP2022_803330,9.358478,1.6278292,5
JCP2022_805807,9.358478,0.6635169,5
JCP2022_803078,9.357187,11.026867,5
JCP2022_805354,9.35516,0.81093824,6
JCP2022_805799,9.337156,0.8671707,5
JCP2022_802566,9.33465,7.7322006,5
JCP2022_807212,9.332104,7.1531525,5
JCP2022_807517,9.331967,10.066924,5
JCP2022_800460,9.33088,1.7505288,6
JCP2022_802688,9.329819,3.0892498,5
JCP2022_807495,9.329485,7.1358237,5
JCP2022_802049,9.32315,3.0335045,5
JCP2022_804409,9.321053,0.6432551,5
JCP2022_805095,9.314817,11.819793,10
JCP2022_806822,9.2997465,1.5224384,5
JCP2022_802503,9.299321,0.7641656,5
JCP2022_805520,9.296976,7.5026956,5
JCP2022_800654,9.2865505,10.297585,5
JCP2022_807903,9.260506,10.04238,5
JCP2022_805439,9.208959,3.5848498,5
JCP2022_806681,9.205281,10.087899,5
JCP2022_806635,9.193849,10.098895,5
JCP2022_805881,9.186266,0.5431819,5
JCP2022_803971,9.185514,9.581519,5
JCP2022_807843,9.16893,1.7301284,5
JCP2022_802162,9.166717,0.74444515,5
JCP2022_804074,9.166111,1.3864923,5
